GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JUnit_EasyMock_Jacoco_Application_03,com.junit.service,ContactServiceImpl,0,36,0,4,0,12,0,7,0,5
JUnit_EasyMock_Jacoco_Application_03,com.junit.exception,NoDataFoundException,0,4,0,0,0,2,0,1,0,1
